#timestamp x y z qx qy qz qw
122.640000 0.562799 -0.279752 2.682627 0.189845 -0.665892 0.717379 -0.076904
123.640000 0.645970 -0.551301 2.671563 0.224370 -0.661522 0.707139 -0.109548
124.740000 0.761082 -0.850954 2.657226 0.262639 -0.654950 0.693725 -0.144244
125.740000 0.891988 -1.114221 2.629635 0.295863 -0.647807 0.679557 -0.176107
126.836000 1.059400 -1.394998 2.594021 0.332744 -0.637497 0.662532 -0.209595
127.840000 1.252868 -1.631369 2.552590 0.365855 -0.626228 0.645461 -0.239518
128.840000 1.462740 -1.824445 2.489713 0.397555 -0.612283 0.628262 -0.268974
129.936000 1.698658 -2.010731 2.437876 0.431426 -0.596923 0.605673 -0.301188
130.936000 1.939583 -2.131232 2.390368 0.460968 -0.581223 0.584275 -0.329106
131.940000 2.199056 -2.242665 2.325187 -0.489180 0.564618 -0.559951 0.358279
132.940000 2.485075 -2.288362 2.269318 -0.516602 0.545717 -0.536658 0.383815
134.040000 2.811555 -2.340228 2.212770 0.544490 -0.524602 0.507764 -0.412916
135.040000 3.116433 -2.363813 2.159139 0.568720 -0.502743 0.481100 -0.438578
136.040000 3.434491 -2.369374 2.106894 0.591468 -0.480447 0.453064 -0.462676
137.136000 3.769722 -2.330466 2.054003 0.616317 -0.454246 0.421446 -0.486001
138.140000 4.060712 -2.275649 1.968662 -0.634037 0.429284 -0.392920 0.509240
139.240000 4.391761 -2.177477 1.902565 -0.653000 0.402296 -0.357692 0.532734
140.240000 4.692419 -2.046236 1.854739 -0.670128 0.375921 -0.325402 0.551113
141.340000 5.009840 -1.899065 1.809329 -0.685701 0.345602 -0.288141 0.572144
142.440000 5.275283 -1.688288 1.771907 -0.700779 0.312018 -0.253641 0.589253
143.440000 5.552780 -1.484163 1.781278 -0.713334 0.284318 -0.217465 0.602517
144.540000 5.869746 -1.253083 1.782166 -0.725653 0.254480 -0.172910 0.615443
145.540000 6.034532 -1.016683 1.754738 -0.732286 0.220361 -0.141860 0.628550
146.540000 6.291387 -0.772701 1.708244 -0.738666 0.193832 -0.098412 0.638058
147.540000 6.474011 -0.504179 1.633879 -0.742488 0.166446 -0.058436 0.646214
148.540000 6.563751 -0.233713 1.563944 -0.744242 0.132117 -0.023768 0.654282
149.636000 6.688157 0.116397 1.510814 -0.747639 0.102791 0.023036 0.655697
150.636000 6.672904 0.408461 1.480410 -0.747117 0.066766 0.056162 0.658942
151.644000 6.629908 0.666932 1.361587 -0.740964 0.033899 0.091559 0.664409
152.648000 6.581222 0.921304 1.278422 -0.733685 0.002062 0.128647 0.667198
153.744000 6.503910 1.211390 1.215081 -0.725214 -0.034670 0.168034 0.666804
154.744000 6.431893 1.455557 1.161262 -0.714708 -0.067865 0.204997 0.665254
155.744000 6.282345 1.679126 1.179151 -0.706738 -0.102644 0.234348 0.659596
156.744000 6.163678 1.896565 1.135717 -0.692730 -0.135062 0.270577 0.654730
157.744000 5.979313 2.096487 1.137387 -0.679604 -0.166587 0.302771 0.647083
158.748000 5.791637 2.278064 1.148361 -0.664283 -0.198257 0.334810 0.638219
159.848000 5.583604 2.496534 1.184393 -0.647008 -0.232669 0.371815 0.623698
160.944000 5.343006 2.675121 1.194413 -0.625630 -0.266265 0.405932 0.610663
161.944000 5.096494 2.821867 1.215713 -0.606222 -0.295849 0.435354 0.596184
162.944000 4.846441 2.927904 1.202727 -0.583250 -0.324424 0.464288 0.582242
163.944000 4.577953 3.017708 1.200939 -0.561171 -0.354606 0.490662 0.564439
164.944000 4.298283 3.085153 1.165278 -0.534669 -0.382148 0.516925 0.548526
165.944000 3.999773 3.130179 1.134841 -0.507377 -0.409226 0.540777 0.531660
166.944000 3.696695 3.172336 1.143327 -0.480871 -0.434892 0.564621 0.510720
167.944000 3.375663 3.177973 1.170621 -0.453448 -0.460672 0.586382 0.488183
168.944000 3.068662 3.150210 1.182488 -0.423885 -0.482970 0.607890 0.466402
169.956000 2.762823 3.103933 1.222384 -0.392397 -0.506564 0.628233 0.441295
171.052000 2.425611 3.000395 1.251467 -0.356926 -0.528660 0.649347 0.414091
172.052000 2.105301 2.885070 1.317523 -0.326231 -0.551985 0.663464 0.385619
173.056000 1.801555 2.734411 1.358633 -0.291949 -0.569702 0.679547 0.358359
174.152000 1.495062 2.519292 1.410506 -0.254571 -0.587750 0.693402 0.330058
175.152000 1.211639 2.346262 1.455790 -0.219616 -0.601939 0.706903 0.299544
176.152000 0.963774 2.135005 1.494258 -0.183320 -0.616425 0.716313 0.270756
177.156000 0.701388 1.938838 1.578188 -0.146639 -0.632823 0.723042 0.235038
178.156000 0.515266 1.694428 1.625472 -0.110083 -0.642331 0.730449 0.204295
179.252000 0.325276 1.393939 1.714977 -0.070879 -0.654727 0.733304 0.169037
180.252000 0.177422 1.093418 1.819838 -0.035640 -0.664492 0.734064 0.135389
181.256000 0.090102 0.797781 1.890232 0.001863 -0.667690 0.737106 0.104215
182.260000 0.026701 0.502126 1.994889 0.038396 -0.673571 0.734807 0.069907
183.260000 -0.004370 0.189154 2.042211 0.071467 -0.673768 0.734627 0.035386
184.260000 0.014827 -0.129014 2.117810 0.109332 -0.677243 0.727585 0.002906
185.264000 0.079498 -0.452351 2.164645 0.145715 -0.677004 0.720830 -0.028935
186.268000 0.174636 -0.764256 2.202501 0.181594 -0.673682 0.713698 -0.061734
187.368000 0.291130 -1.113108 2.247810 0.218695 -0.670123 0.702483 -0.098109
188.464000 0.430547 -1.450321 2.273780 0.255620 -0.664413 0.689109 -0.135437
189.464000 0.594679 -1.744128 2.287350 0.289906 -0.657929 0.674728 -0.166814
190.464000 0.754929 -2.019578 2.264426 0.321449 -0.648059 0.660566 -0.200854
191.464000 0.956192 -2.268140 2.253926 0.354112 -0.638274 0.643733 -0.229824
192.464000 1.149501 -2.540212 2.259103 -0.384395 0.627567 -0.623920 0.262913
193.468000 1.378829 -2.758167 2.188626 -0.415739 0.610004 -0.608268 0.291661
194.564000 1.677709 -2.985121 2.190907 -0.448538 0.595242 -0.582864 0.323683
195.564000 1.964254 -3.156389 2.132722 -0.474093 0.577841 -0.562734 0.353081
196.564000 2.294588 -3.294166 2.133361 -0.501791 0.560261 -0.537620 0.381154
