#timestamp x y z qx qy qz qw
185.340000 0.518848 -7.185530 1.319633 -0.023296 0.759654 -0.639303 -0.116940
186.340000 1.183178 -7.182588 1.202424 -0.025968 0.758195 -0.641544 -0.113526
187.340000 1.897575 -7.253042 1.105801 0.003768 0.740363 -0.666593 -0.086610
188.340000 2.159377 -6.920523 1.148931 -0.014145 0.745816 -0.657703 -0.104813
189.340000 2.303662 -6.271163 1.194664 -0.016502 0.746337 -0.655617 -0.113475
190.340000 2.350724 -5.620854 1.316083 -0.010954 0.742327 -0.660617 -0.111426
191.340000 2.443702 -4.922699 1.369055 -0.008690 0.735204 -0.668194 -0.113651
192.340000 2.539824 -4.268941 1.439082 -0.005079 0.727655 -0.675929 -0.116671
193.340000 2.630517 -3.585843 1.485067 -0.000335 0.726368 -0.676414 -0.121878
194.340000 2.740601 -2.926984 1.524134 -0.005189 0.728718 -0.673990 -0.121162
195.340000 2.867424 -2.297245 1.587822 -0.004607 0.726577 -0.675138 -0.127486
196.340000 3.012748 -1.683397 1.641842 -0.001078 0.723746 -0.678012 -0.128414
197.340000 3.139212 -1.035777 1.690587 0.000711 0.722449 -0.679543 -0.127623
198.340000 3.269308 -0.378572 1.746893 0.003676 0.719988 -0.682069 -0.128002
199.340000 3.377911 0.303673 1.778192 0.000680 0.717967 -0.684403 -0.126946
200.340000 3.506358 0.943501 1.809599 -0.000825 0.718172 -0.683827 -0.128873
201.340000 3.619502 1.622433 1.853050 -0.001798 0.718633 -0.683254 -0.129335
202.340000 3.726551 2.315015 1.885977 -0.005088 0.718414 -0.683609 -0.128588
203.340000 3.847754 3.011668 1.936391 -0.006970 0.720702 -0.681029 -0.129384
204.340000 3.960690 3.714353 1.994203 -0.004855 0.723203 -0.678674 -0.127887
205.340000 4.052648 4.423093 2.040674 -0.010205 0.724726 -0.678580 -0.119153
206.340000 4.137926 5.129106 2.091980 -0.013232 0.725442 -0.678450 -0.115168
207.340000 4.235960 5.826857 2.153128 -0.012579 0.726001 -0.677988 -0.114440
208.340000 4.278071 6.465321 2.192641 -0.033331 0.752037 -0.643242 -0.139888
209.340000 4.671600 6.633867 2.117190 -0.022402 0.735989 -0.663440 -0.132913
210.340000 5.344471 6.559796 1.983759 -0.008941 0.731935 -0.667917 -0.134456
211.340000 5.992069 6.409833 1.822856 0.001331 0.727684 -0.671323 -0.140712
212.340000 6.700795 6.199424 1.769568 0.013044 0.729346 -0.669030 -0.142415
213.340000 7.168622 5.928244 1.715081 0.038434 0.752852 -0.643285 -0.133870
214.340000 7.092664 5.380976 1.683475 0.030189 0.740780 -0.655675 -0.142916
215.340000 6.922907 4.749653 1.661196 0.025750 0.735233 -0.661371 -0.146144
216.340000 6.719656 4.084462 1.676836 0.022065 0.736281 -0.661537 -0.140613
217.340000 6.565889 3.401482 1.707774 0.012488 0.738750 -0.660698 -0.132553
218.340000 6.457843 2.770883 1.728314 0.003359 0.738515 -0.662844 -0.123377
219.340000 6.346292 2.108812 1.723808 0.004926 0.738414 -0.663460 -0.120583
220.344000 6.243185 1.477043 1.693441 0.004401 0.737964 -0.664665 -0.116667
221.440000 6.145802 0.787576 1.664022 0.004743 0.737463 -0.665938 -0.112485
222.440000 6.068427 0.145875 1.611444 0.005533 0.735053 -0.669218 -0.108694
223.440000 6.000428 -0.533946 1.582159 0.005757 0.734158 -0.670677 -0.105699
224.440000 5.931762 -1.212021 1.555539 0.009002 0.732120 -0.673268 -0.103098
225.440000 5.874122 -1.918096 1.554073 0.008741 0.730637 -0.675427 -0.099454
226.440000 5.792499 -2.613688 1.521982 0.009894 0.726286 -0.680644 -0.095581
227.440000 5.702952 -3.322450 1.539050 0.010310 0.725563 -0.681625 -0.094021
228.440000 5.593168 -4.050726 1.515868 0.009338 0.722607 -0.684871 -0.093297
229.440000 5.455291 -4.746040 1.475290 0.010727 0.718936 -0.689277 -0.088961
230.440000 5.347314 -5.475098 1.474894 0.011788 0.714656 -0.693925 -0.087160
231.440000 5.222281 -6.179111 1.492388 0.013816 0.710861 -0.698203 -0.083657
232.440000 5.140016 -7.034843 1.454396 0.010172 0.718758 -0.689097 -0.091813
233.440000 5.013361 -7.655193 1.299503 -0.021353 -0.642024 0.762953 0.072467
234.440000 4.793910 -7.541436 1.354769 -0.013034 -0.691672 0.715818 0.094999
235.440000 4.549146 -7.081937 1.424881 0.011143 0.706773 -0.699315 -0.106331
236.440000 4.222992 -6.427381 1.473886 0.011580 0.711228 -0.694520 -0.107994
237.440000 4.017048 -5.866814 1.518914 0.010471 0.717479 -0.687126 -0.113895
238.440000 3.748569 -5.303899 1.568259 0.008886 0.722278 -0.682479 -0.111615
239.440000 3.502829 -4.724255 1.590365 0.006192 0.726087 -0.678307 -0.112512
240.440000 3.215262 -4.141098 1.616323 0.004066 0.728063 -0.676301 -0.111911
241.440000 2.940527 -3.586476 1.686465 0.005727 0.730194 -0.673457 -0.115061
242.440000 2.626405 -3.011445 1.730848 0.002301 0.731429 -0.672124 -0.115136
243.440000 2.329890 -2.439629 1.770488 0.004910 0.728806 -0.674646 -0.116918
244.440000 2.040429 -1.845658 1.832565 0.011218 0.724626 -0.677950 -0.123189
245.440000 1.718180 -1.264770 1.905808 0.004439 0.727858 -0.674394 -0.124083
246.440000 1.380967 -0.643977 1.959003 0.002627 0.728338 -0.673956 -0.123693
247.440000 1.132259 -0.125531 2.024293 -0.005943 0.751633 -0.645140 -0.137137
248.440000 1.095628 0.021767 1.992404 -0.003072 0.739255 -0.660427 -0.131637
249.440000 1.010004 0.059750 1.965145 -0.005005 0.735428 -0.665243 -0.128732
250.440000 0.993146 0.101308 1.876760 -0.001266 0.734782 -0.666259 -0.127248
252.440000 0.950788 0.133492 1.822919 0.000809 0.735637 -0.665632 -0.125582
256.440000 0.915503 0.137167 1.906366 -0.002236 0.736597 -0.664434 -0.126284
257.440000 0.919222 0.131994 1.943004 -0.002348 0.735190 -0.665831 -0.127121
259.440000 0.936268 0.099276 2.025174 -0.001348 0.736769 -0.664467 -0.125114
261.440000 1.022805 0.118152 2.035764 -0.002019 0.735203 -0.665631 -0.128095
263.440000 1.056232 0.138124 1.991604 -0.000727 0.735643 -0.664741 -0.130185
264.440000 1.042110 0.172638 1.907586 -0.003475 0.734449 -0.666469 -0.128026
265.440000 1.082155 0.191801 1.839509 -0.005670 0.735382 -0.665208 -0.129150
266.440000 1.024593 0.219363 1.757845 -0.009342 0.737485 -0.663979 -0.123131
267.440000 1.018493 0.252196 1.671147 -0.001864 0.737322 -0.663466 -0.127142
268.440000 0.978119 0.292358 1.569630 -0.008092 0.730853 -0.669772 -0.131126
269.440000 0.961040 0.312935 1.463561 -0.003917 0.736064 -0.665037 -0.126173
270.440000 0.936141 0.319483 1.381788 -0.004413 0.735808 -0.665306 -0.126236
271.440000 0.891807 0.308763 1.328532 -0.000241 0.737686 -0.664270 -0.120685
273.440000 0.864818 0.319907 1.231104 -0.000797 0.738023 -0.663330 -0.123752
274.440000 0.858817 0.327892 1.143808 -0.000012 0.736299 -0.665471 -0.122523
275.440000 0.886680 0.317865 1.079792 -0.004638 0.733347 -0.667193 -0.130517
277.440000 0.883908 0.297320 0.965843 -0.008913 0.727396 -0.673298 -0.132233
278.440000 0.862112 0.289298 0.858027 -0.012282 0.728543 -0.672007 -0.132217
279.440000 0.870277 0.265663 0.812509 -0.003138 0.734777 -0.665586 -0.130720
281.440000 0.777396 0.244528 0.675381 0.000902 0.736834 -0.663323 -0.130685
282.440000 0.700621 0.233216 0.553103 0.000966 0.736372 -0.663898 -0.130361
284.440000 0.661911 0.285690 0.635094 0.008213 0.754620 -0.643892 -0.126032
285.440000 0.606497 0.339707 0.577325 0.010400 0.754994 -0.643751 -0.124342
293.440000 0.398455 0.190487 0.269490 -0.003693 0.737854 -0.665001 -0.115464
294.440000 0.421869 0.121479 0.357834 0.000445 0.744060 -0.657264 -0.119910
296.440000 0.363581 0.035996 0.390202 0.002269 0.744023 -0.658384 -0.113819
297.440000 0.368138 -0.007014 0.427619 0.003638 0.746452 -0.655054 -0.117052
299.440000 0.325984 -0.060213 0.486027 0.005366 0.746345 -0.655560 -0.114810
301.440000 0.253779 -0.110072 0.551300 0.008211 0.742311 -0.660516 -0.112365
303.440000 0.148058 -0.124870 0.588966 0.006229 0.738088 -0.664863 -0.114650
305.440000 0.088210 -0.087284 0.610601 0.003936 0.737885 -0.664707 -0.116936
308.440000 0.085466 -0.035853 0.735787 0.002397 0.744149 -0.656708 -0.122356
311.440000 0.097601 -0.069863 0.806983 0.003519 0.743441 -0.657619 -0.121738
313.440000 0.112217 -0.101739 0.829651 0.000845 0.743732 -0.656785 -0.124480
315.440000 0.084262 -0.130302 0.885810 0.001941 0.739370 -0.662265 -0.121387
317.440000 0.043266 -0.170105 0.992803 -0.001371 0.739564 -0.661885 -0.122279
319.440000 -0.000036 -0.192852 1.092276 -0.000235 0.740727 -0.660900 -0.120560
320.440000 0.017860 -0.187810 1.114805 -0.004499 0.740912 -0.660354 -0.122318
322.440000 0.033953 -0.186510 1.190153 -0.000760 0.742170 -0.659789 -0.117732
324.440000 0.128001 -0.164169 1.271911 -0.006228 0.734952 -0.666468 -0.125009
325.440000 0.140305 -0.169696 1.361390 -0.006722 0.737193 -0.664189 -0.123915
326.440000 0.170665 -0.166496 1.371775 -0.004828 0.737648 -0.663980 -0.122402
327.444000 0.198635 -0.173219 1.437776 -0.004779 0.737468 -0.664063 -0.123038
328.540000 0.211279 -0.172377 1.528963 -0.005363 0.737351 -0.663927 -0.124444
329.540000 0.201266 -0.173365 1.573465 -0.004234 0.739521 -0.662068 -0.121478
332.540000 0.128123 -0.268745 1.604995 -0.003995 0.737158 -0.664063 -0.124906
333.540000 0.130403 -0.325628 1.582827 -0.003620 0.736200 -0.664655 -0.127397
334.540000 0.146668 -0.376698 1.545240 -0.004685 0.733624 -0.667434 -0.127691
335.540000 0.172723 -0.425980 1.519011 -0.006053 0.733194 -0.668198 -0.126100
337.540000 0.214519 -0.501556 1.527786 -0.004732 0.737404 -0.663930 -0.124136
339.540000 0.265204 -0.515479 1.467749 -0.003938 0.735836 -0.665842 -0.123228
